0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/behavior_dog.png HTTP/1.1" 200 11688
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/abdomen_dog.png HTTP/1.1" 200 11779
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/waist_dog.png HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:29 +0900] "GET /ogudoctorcaldisplay.do HTTP/1.1" 200 10909
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:29 +0900] "GET /resources/images/samoMain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:33 +0900] "GET /food.do HTTP/1.1" 200 24586
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:33 +0900] "GET /resources/images/feedMain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:33 +0900] "GET /resources/images/dog.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:33 +0900] "GET /resources/images/cat.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:37 +0900] "GET /recommend.do HTTP/1.1" 200 22383
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:37 +0900] "GET /resources/images/recommendMain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:37 +0900] "GET /resources/images/dog.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:37 +0900] "GET /resources/images/cat.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:17:16 +0900] "GET /loungemaindisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:17:16 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:17:16 +0900] "GET /resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 304 -
